id,order_date,delivery_date,net_value,client
1,2023-09-29,2023-10-04,322407,Microsoft
2,2022-01-09,2022-01-14,335204,Microsoft
3,2023-01-12,2023-01-17,249325,Adobe
4,2023-09-07,2023-09-12,113953,Adobe
5,2023-06-09,2023-06-14,303600,Amazon
6,2023-04-10,2023-04-15,272276,Apple
7,2021-12-13,2021-12-18,197745,Apple
8,2023-09-18,2023-09-23,258186,Yahoo
9,2022-11-17,2022-11-22,44884,Google
10,2021-12-23,2021-12-28,216549,Apple
11,2023-02-03,2023-02-08,132736,Amazon
12,2023-04-01,2023-04-06,90987,Finale
13,2023-10-25,2023-10-30,210221,Google
14,2023-07-16,2023-07-21,118678,Apple
15,2023-07-01,2023-07-06,327549,Amazon
16,2023-10-07,2023-10-12,298179,Sibelius
17,2022-11-15,2022-11-20,261704,Microsoft
18,2022-07-21,2022-07-26,405978,Microsoft
19,2022-09-23,2022-09-28,312795,Adobe
20,2022-11-05,2022-11-10,373720,Google
21,2022-10-16,2022-10-21,497026,Chami
22,2022-02-09,2022-02-14,459881,Adobe
23,2022-11-10,2022-11-15,368561,Sibelius
24,2023-01-04,2023-01-09,192065,Borland
25,2022-11-12,2022-11-17,33617,Yahoo
26,2022-02-23,2022-02-28,252196,Lavasoft
27,2022-03-12,2022-03-17,192823,Cakewalk
28,2022-11-05,2022-11-10,148480,Google
29,2021-11-26,2021-12-01,148985,Sibelius
30,2023-07-25,2023-07-30,281402,Yahoo
31,2022-02-09,2022-02-14,100921,Adobe
32,2022-09-28,2022-10-03,101106,Chami
33,2022-07-24,2022-07-29,330585,Cakewalk
34,2021-12-05,2021-12-10,435166,Amazon
35,2022-04-30,2022-05-05,343305,Finale
36,2023-08-28,2023-09-02,442758,Borland
37,2023-03-16,2023-03-21,438581,Adobe
38,2023-01-13,2023-01-18,25012,Chami
39,2023-08-31,2023-09-05,311406,Apple
40,2023-06-28,2023-07-03,55086,Sibelius
41,2023-04-29,2023-05-04,9779,Finale
42,2022-05-08,2022-05-13,423148,Google
43,2022-01-18,2022-01-23,294637,Sibelius
44,2022-06-14,2022-06-19,418662,Google
45,2022-07-18,2022-07-23,200140,Finale
46,2022-02-04,2022-02-09,149655,Finale
47,2022-06-06,2022-06-11,58540,Lavasoft
48,2022-12-03,2022-12-08,163609,Google
49,2022-05-13,2022-05-18,103015,Chami
50,2022-12-13,2022-12-18,428049,Adobe
51,2022-04-30,2022-05-05,422501,Chami
52,2022-07-14,2022-07-19,319786,Borland
53,2022-06-15,2022-06-20,206975,Apple
54,2023-03-19,2023-03-24,55689,Yahoo
55,2023-01-05,2023-01-10,3758,Adobe
56,2022-12-11,2022-12-16,271995,Sibelius
57,2023-06-04,2023-06-09,5106,Borland
58,2023-04-15,2023-04-20,188023,Cakewalk
59,2023-03-19,2023-03-24,13993,Yahoo
60,2022-11-15,2022-11-20,441211,Yahoo
61,2023-02-02,2023-02-07,104849,Adobe
62,2022-06-04,2022-06-09,419020,Sibelius
63,2023-10-21,2023-10-26,110068,Lavasoft
64,2022-12-10,2022-12-15,67785,Adobe
65,2023-05-05,2023-05-10,484511,Microsoft
66,2022-11-23,2022-11-28,307680,Google
67,2023-05-06,2023-05-11,101700,Microsoft
68,2022-09-22,2022-09-27,446154,Google
69,2022-04-27,2022-05-02,262215,Yahoo
70,2023-09-08,2023-09-13,151066,Sibelius
71,2023-02-24,2023-03-01,16866,Chami
72,2023-04-18,2023-04-23,44279,Apple
73,2022-08-01,2022-08-06,422219,Chami
74,2021-12-30,2022-01-04,252979,Apple
75,2022-03-20,2022-03-25,451929,Finale
76,2023-04-24,2023-04-29,286596,Borland
77,2022-08-07,2022-08-12,486350,Yahoo
78,2023-02-15,2023-02-20,210867,Chami
79,2022-04-22,2022-04-27,4637,Borland
80,2022-02-05,2022-02-10,260862,Finale
81,2023-07-15,2023-07-20,8005,Apple
82,2023-08-19,2023-08-24,254931,Amazon
83,2023-04-20,2023-04-25,5414,Yahoo
84,2022-02-08,2022-02-13,122320,Cakewalk
85,2022-01-16,2022-01-21,214641,Apple
86,2021-12-26,2021-12-31,356255,Yahoo
87,2023-11-18,2023-11-23,379067,Sibelius
88,2022-06-21,2022-06-26,253034,Sibelius
89,2022-04-12,2022-04-17,52469,Cakewalk
90,2022-05-27,2022-06-01,84014,Finale
91,2023-03-23,2023-03-28,43464,Yahoo
92,2023-07-25,2023-07-30,465625,Chami
93,2022-12-31,2023-01-05,352882,Chami
94,2022-05-16,2022-05-21,153000,Cakewalk
95,2022-11-01,2022-11-06,286795,Adobe
96,2023-04-27,2023-05-02,214196,Borland
97,2023-08-15,2023-08-20,67439,Google
98,2023-08-03,2023-08-08,306567,Chami
99,2023-09-25,2023-09-30,202207,Lavasoft
100,2023-11-14,2023-11-19,320695,Chami
101,2022-03-04,2022-03-09,140689,Apple
102,2022-10-20,2022-10-25,133685,Finale
103,2023-11-05,2023-11-10,61789,Google
104,2023-04-04,2023-04-09,322654,Sibelius
105,2022-01-02,2022-01-07,357633,Apple
106,2022-11-24,2022-11-29,119201,Sibelius
107,2023-02-14,2023-02-19,2032,Amazon
108,2023-03-07,2023-03-12,1038,Borland
109,2023-02-25,2023-03-02,66480,Amazon
110,2022-07-05,2022-07-10,163936,Adobe
111,2022-05-16,2022-05-21,206727,Apple
112,2023-05-26,2023-05-31,116701,Borland
113,2023-07-27,2023-08-01,235009,Amazon
114,2023-04-01,2023-04-06,368500,Lavasoft
115,2022-12-08,2022-12-13,294097,Lavasoft
116,2022-10-07,2022-10-12,337532,Lavasoft
117,2023-02-27,2023-03-04,59520,Amazon
118,2023-07-18,2023-07-23,126634,Amazon
119,2022-04-24,2022-04-29,163190,Cakewalk
120,2023-08-09,2023-08-14,340008,Apple
121,2023-07-30,2023-08-04,106058,Cakewalk
122,2022-09-08,2022-09-13,306813,Lavasoft
123,2022-03-17,2022-03-22,329202,Finale
124,2022-02-08,2022-02-13,480799,Yahoo
125,2023-08-06,2023-08-11,127278,Lavasoft
126,2022-07-28,2022-08-02,303802,Sibelius
127,2022-08-05,2022-08-10,357410,Chami
128,2022-10-07,2022-10-12,189291,Adobe
129,2022-01-19,2022-01-24,45929,Microsoft
130,2023-07-11,2023-07-16,14696,Finale
131,2023-01-30,2023-02-04,131336,Chami
132,2023-04-01,2023-04-06,131477,Finale
133,2022-02-05,2022-02-10,391652,Lavasoft
134,2023-09-15,2023-09-20,255765,Amazon
135,2022-08-10,2022-08-15,470699,Sibelius
136,2023-01-17,2023-01-22,413634,Adobe
137,2023-02-09,2023-02-14,258241,Borland
138,2023-02-11,2023-02-16,436373,Microsoft
139,2023-09-12,2023-09-17,90719,Cakewalk
140,2023-02-06,2023-02-11,6431,Lavasoft
141,2023-04-09,2023-04-14,207481,Finale
142,2022-04-17,2022-04-22,20152,Amazon
143,2022-02-08,2022-02-13,31777,Adobe
144,2022-10-06,2022-10-11,432700,Finale
145,2023-02-25,2023-03-02,324752,Lavasoft
146,2022-12-16,2022-12-21,180866,Chami
147,2022-08-28,2022-09-02,469433,Chami
148,2022-01-17,2022-01-22,457174,Lavasoft
149,2023-10-28,2023-11-02,40127,Cakewalk
150,2023-01-26,2023-01-31,384500,Cakewalk
151,2023-09-17,2023-09-22,407932,Cakewalk
152,2022-07-22,2022-07-27,325105,Borland
153,2022-05-27,2022-06-01,217007,Borland
154,2022-11-09,2022-11-14,377691,Borland
155,2022-01-15,2022-01-20,130918,Lavasoft
156,2022-12-09,2022-12-14,401152,Google
157,2022-02-25,2022-03-02,12422,Borland
158,2023-04-08,2023-04-13,172606,Cakewalk
159,2023-07-19,2023-07-24,388351,Adobe
160,2022-03-19,2022-03-24,78021,Adobe
161,2022-04-12,2022-04-17,48336,Cakewalk
162,2023-01-20,2023-01-25,439960,Amazon
163,2023-09-29,2023-10-04,39031,Lavasoft
164,2023-07-03,2023-07-08,331150,Google
165,2022-07-13,2022-07-18,207101,Amazon
166,2023-04-26,2023-05-01,392257,Cakewalk
167,2022-10-03,2022-10-08,134853,Sibelius
168,2023-03-11,2023-03-16,373718,Microsoft
169,2023-03-10,2023-03-15,389389,Apple
170,2023-11-07,2023-11-12,173740,Apple
171,2022-03-10,2022-03-15,137112,Finale
172,2023-03-06,2023-03-11,392210,Cakewalk
173,2023-10-27,2023-11-01,50366,Sibelius
174,2023-06-12,2023-06-17,17263,Borland
175,2022-11-17,2022-11-22,41249,Chami
176,2022-09-21,2022-09-26,393412,Google
177,2023-01-07,2023-01-12,419646,Borland
178,2022-09-08,2022-09-13,495746,Cakewalk
179,2022-06-26,2022-07-01,100270,Yahoo
180,2022-01-03,2022-01-08,327070,Adobe
181,2023-08-15,2023-08-20,388406,Microsoft
182,2023-03-15,2023-03-20,385947,Finale
183,2022-10-23,2022-10-28,224234,Finale
184,2022-12-16,2022-12-21,379437,Finale
185,2023-06-09,2023-06-14,306813,Apple
186,2023-07-07,2023-07-12,273598,Sibelius
187,2023-08-02,2023-08-07,223374,Amazon
188,2022-03-28,2022-04-02,438127,Borland
189,2022-02-23,2022-02-28,167845,Chami
190,2022-08-25,2022-08-30,330495,Borland
191,2023-05-31,2023-06-05,108480,Adobe
192,2022-06-21,2022-06-26,54008,Microsoft
193,2023-03-29,2023-04-03,413468,Borland
194,2022-01-11,2022-01-16,95590,Apple
195,2023-07-15,2023-07-20,446492,Apple
196,2022-06-01,2022-06-06,36823,Finale
197,2022-10-16,2022-10-21,446277,Cakewalk
198,2023-08-17,2023-08-22,40614,Lavasoft
199,2022-04-06,2022-04-11,29959,Apple
200,2022-09-19,2022-09-24,231853,Lavasoft
201,2022-03-29,2022-04-03,378057,Adobe
202,2022-09-27,2022-10-02,461086,Borland
203,2022-12-26,2022-12-31,414473,Cakewalk
204,2022-12-21,2022-12-26,399721,Adobe
205,2023-11-18,2023-11-23,414925,Borland
206,2023-07-30,2023-08-04,189209,Chami
207,2023-02-13,2023-02-18,151442,Amazon
208,2023-08-08,2023-08-13,398469,Sibelius
209,2022-09-29,2022-10-04,179051,Amazon
210,2022-08-15,2022-08-20,195091,Finale
211,2023-02-16,2023-02-21,144725,Yahoo
212,2022-11-29,2022-12-04,187647,Finale
213,2022-02-11,2022-02-16,359275,Microsoft
214,2023-03-03,2023-03-08,364366,Amazon
215,2022-04-03,2022-04-08,422559,Sibelius
216,2023-09-13,2023-09-18,485646,Yahoo
217,2022-07-06,2022-07-11,206967,Finale
218,2022-03-18,2022-03-23,108389,Finale
219,2022-09-13,2022-09-18,338080,Yahoo
220,2022-11-17,2022-11-22,497059,Cakewalk
221,2023-02-23,2023-02-28,188218,Apple
222,2023-07-20,2023-07-25,3704,Chami
223,2021-12-25,2021-12-30,62707,Amazon
224,2023-04-20,2023-04-25,406121,Apple
225,2021-12-17,2021-12-22,15574,Finale
226,2022-04-15,2022-04-20,306654,Yahoo
227,2022-11-30,2022-12-05,250887,Sibelius
228,2023-08-27,2023-09-01,74301,Sibelius
229,2023-02-15,2023-02-20,5640,Sibelius
230,2023-05-21,2023-05-26,437845,Cakewalk
231,2022-05-02,2022-05-07,125904,Amazon
232,2023-10-16,2023-10-21,231623,Yahoo
233,2022-06-26,2022-07-01,465593,Adobe
234,2023-07-21,2023-07-26,257195,Apple
235,2022-01-05,2022-01-10,148216,Amazon
236,2022-08-13,2022-08-18,376429,Apple
237,2023-02-25,2023-03-02,226927,Finale
238,2023-10-13,2023-10-18,295252,Borland
239,2022-03-25,2022-03-30,118440,Borland
240,2022-06-06,2022-06-11,20959,Lavasoft
241,2023-06-04,2023-06-09,337296,Amazon
242,2022-12-27,2023-01-01,8710,Cakewalk
243,2022-11-24,2022-11-29,85013,Yahoo
244,2022-09-03,2022-09-08,127426,Borland
245,2023-10-17,2023-10-22,155024,Yahoo
246,2022-04-07,2022-04-12,348127,Microsoft
247,2022-02-11,2022-02-16,494780,Amazon
248,2022-08-28,2022-09-02,143652,Yahoo
249,2023-11-03,2023-11-08,460189,Finale
250,2022-09-09,2022-09-14,389229,Apple
251,2022-04-30,2022-05-05,131464,Finale
252,2021-12-02,2021-12-07,462412,Cakewalk
253,2023-09-21,2023-09-26,24628,Yahoo
254,2023-09-07,2023-09-12,461412,Yahoo
255,2022-12-21,2022-12-26,50827,Finale
256,2022-09-06,2022-09-11,115332,Chami
257,2022-10-09,2022-10-14,173984,Apple
258,2023-02-14,2023-02-19,160921,Cakewalk
259,2023-01-29,2023-02-03,296640,Adobe
260,2022-02-25,2022-03-02,185394,Yahoo
261,2022-06-14,2022-06-19,364314,Chami
262,2023-03-30,2023-04-04,41046,Google
263,2023-09-22,2023-09-27,342720,Microsoft
264,2023-01-17,2023-01-22,2986,Cakewalk
265,2021-12-09,2021-12-14,15462,Adobe
266,2022-11-19,2022-11-24,155150,Borland
267,2022-08-06,2022-08-11,369460,Amazon
268,2022-04-03,2022-04-08,8917,Microsoft
269,2023-01-13,2023-01-18,196048,Amazon
270,2023-08-10,2023-08-15,266739,Borland
271,2022-01-16,2022-01-21,193697,Finale
272,2023-06-10,2023-06-15,101896,Amazon
273,2023-08-23,2023-08-28,161686,Sibelius
274,2022-07-02,2022-07-07,266192,Borland
275,2023-09-26,2023-10-01,450261,Microsoft
276,2023-03-09,2023-03-14,113573,Cakewalk
277,2022-09-26,2022-10-01,121312,Lavasoft
278,2022-04-11,2022-04-16,331043,Finale
279,2023-02-01,2023-02-06,169357,Google
280,2022-06-14,2022-06-19,130159,Apple
281,2023-07-16,2023-07-21,321638,Yahoo
282,2022-05-03,2022-05-08,88480,Google
283,2023-11-02,2023-11-07,388133,Lavasoft
284,2023-02-22,2023-02-27,65163,Finale
285,2022-06-09,2022-06-14,81889,Yahoo
286,2023-04-29,2023-05-04,40534,Yahoo
287,2022-11-23,2022-11-28,445489,Adobe
288,2022-06-21,2022-06-26,91487,Yahoo
289,2023-05-30,2023-06-04,258777,Amazon
290,2023-05-20,2023-05-25,368775,Finale
291,2022-11-30,2022-12-05,257207,Chami
292,2023-06-26,2023-07-01,240318,Chami
293,2022-06-16,2022-06-21,423667,Borland
294,2023-06-08,2023-06-13,415765,Google
295,2023-04-10,2023-04-15,37210,Sibelius
296,2023-10-30,2023-11-04,223715,Yahoo
297,2022-11-01,2022-11-06,296942,Chami
298,2023-07-23,2023-07-28,210188,Chami
299,2023-10-13,2023-10-18,265029,Amazon
300,2022-07-05,2022-07-10,347697,Chami
301,2022-10-06,2022-10-11,252721,Apple
302,2022-07-29,2022-08-03,388206,Yahoo
303,2023-02-10,2023-02-15,61253,Apple
304,2023-07-03,2023-07-08,216458,Chami
305,2023-01-13,2023-01-18,90148,Lavasoft
306,2023-06-21,2023-06-26,176229,Sibelius
307,2021-12-31,2022-01-05,443002,Amazon
308,2023-11-14,2023-11-19,306781,Apple
309,2023-04-25,2023-04-30,210159,Finale
310,2022-03-08,2022-03-13,351020,Cakewalk
311,2022-02-28,2022-03-05,389986,Borland
312,2023-10-05,2023-10-10,138373,Cakewalk
313,2022-08-20,2022-08-25,355277,Yahoo
314,2022-12-19,2022-12-24,56752,Finale
315,2022-02-25,2022-03-02,92461,Sibelius
316,2022-04-04,2022-04-09,78376,Yahoo
317,2022-12-19,2022-12-24,363729,Borland
318,2023-11-06,2023-11-11,118884,Borland
319,2022-12-10,2022-12-15,308254,Lavasoft
320,2023-11-02,2023-11-07,209330,Apple
321,2021-12-12,2021-12-17,457191,Borland
322,2022-07-17,2022-07-22,448931,Sibelius
323,2023-06-29,2023-07-04,417908,Apple
324,2022-11-10,2022-11-15,309148,Yahoo
325,2021-11-30,2021-12-05,49056,Cakewalk
326,2023-10-02,2023-10-07,10292,Cakewalk
327,2023-07-29,2023-08-03,252324,Finale
328,2023-02-06,2023-02-11,421869,Google
329,2023-10-29,2023-11-03,481292,Microsoft
330,2022-02-05,2022-02-10,486269,Apple
331,2022-11-14,2022-11-19,341394,Chami
332,2022-05-27,2022-06-01,422187,Amazon
333,2023-04-30,2023-05-05,83079,Finale
334,2023-10-31,2023-11-05,19985,Adobe
335,2022-03-10,2022-03-15,488031,Chami
336,2022-07-17,2022-07-22,488856,Cakewalk
337,2023-07-04,2023-07-09,473253,Yahoo
338,2023-09-01,2023-09-06,183866,Microsoft
339,2023-06-20,2023-06-25,229836,Borland
340,2023-03-14,2023-03-19,292165,Borland
341,2023-09-15,2023-09-20,327910,Cakewalk
342,2022-09-23,2022-09-28,400649,Google
343,2022-06-26,2022-07-01,21001,Borland
344,2023-11-14,2023-11-19,376507,Google
345,2022-12-17,2022-12-22,284705,Microsoft
346,2022-09-25,2022-09-30,472108,Adobe
347,2022-05-28,2022-06-02,433146,Chami
348,2023-03-13,2023-03-18,171081,Lavasoft
349,2022-10-08,2022-10-13,234458,Google
350,2023-04-23,2023-04-28,404792,Borland
351,2023-05-12,2023-05-17,391000,Yahoo
352,2023-03-21,2023-03-26,447851,Amazon
353,2022-07-19,2022-07-24,219675,Adobe
354,2022-03-13,2022-03-18,233558,Finale
355,2022-02-16,2022-02-21,323665,Lavasoft
356,2021-12-02,2021-12-07,325267,Chami
357,2022-11-18,2022-11-23,265397,Cakewalk
358,2022-04-21,2022-04-26,102676,Apple
359,2023-02-28,2023-03-05,91210,Borland
360,2022-10-12,2022-10-17,334994,Microsoft
361,2022-08-10,2022-08-15,108414,Google
362,2023-08-04,2023-08-09,425770,Apple
363,2022-09-08,2022-09-13,83485,Borland
364,2023-01-07,2023-01-12,406915,Cakewalk
365,2022-05-19,2022-05-24,474268,Borland
366,2023-04-12,2023-04-17,407527,Cakewalk
367,2022-01-18,2022-01-23,221649,Yahoo
368,2022-03-14,2022-03-19,71164,Adobe
369,2023-06-08,2023-06-13,170455,Apple
370,2022-06-16,2022-06-21,396713,Borland
371,2022-12-08,2022-12-13,91166,Amazon
372,2022-09-04,2022-09-09,187240,Chami
373,2022-02-28,2022-03-05,57230,Chami
374,2022-09-26,2022-10-01,296848,Lavasoft
375,2022-07-03,2022-07-08,346781,Microsoft
376,2022-03-28,2022-04-02,316963,Apple
377,2023-05-02,2023-05-07,205667,Google
378,2021-12-04,2021-12-09,22739,Amazon
379,2022-06-23,2022-06-28,359630,Apple
380,2022-08-06,2022-08-11,486271,Lavasoft
381,2022-02-22,2022-02-27,71002,Lavasoft
382,2023-03-24,2023-03-29,101092,Amazon
383,2022-07-23,2022-07-28,283987,Borland
384,2022-05-19,2022-05-24,51959,Sibelius
385,2021-12-30,2022-01-04,344828,Google
386,2023-08-26,2023-08-31,393168,Microsoft
387,2022-10-11,2022-10-16,291008,Amazon
388,2023-08-31,2023-09-05,463251,Chami
389,2022-10-06,2022-10-11,392249,Borland
390,2023-08-24,2023-08-29,59707,Chami
391,2022-06-30,2022-07-05,357958,Microsoft
392,2023-01-20,2023-01-25,152536,Chami
393,2022-06-28,2022-07-03,402748,Adobe
394,2022-06-08,2022-06-13,188186,Yahoo
395,2023-03-13,2023-03-18,205039,Sibelius
396,2022-07-26,2022-07-31,180839,Borland
397,2023-02-17,2023-02-22,379619,Lavasoft
398,2023-04-07,2023-04-12,45687,Microsoft
399,2022-09-29,2022-10-04,313426,Apple
400,2021-12-20,2021-12-25,387285,Adobe
401,2023-06-06,2023-06-11,112528,Apple
402,2023-10-02,2023-10-07,41144,Lavasoft
403,2023-07-28,2023-08-02,469007,Cakewalk
404,2022-08-26,2022-08-31,323802,Finale
405,2022-07-11,2022-07-16,33227,Chami
406,2023-01-01,2023-01-06,81340,Amazon
407,2022-02-12,2022-02-17,360216,Sibelius
408,2022-10-26,2022-10-31,85697,Chami
409,2022-11-30,2022-12-05,198534,Finale
410,2022-04-25,2022-04-30,398193,Adobe
411,2023-08-09,2023-08-14,379001,Chami
412,2022-06-19,2022-06-24,253782,Microsoft
413,2023-01-31,2023-02-05,465134,Amazon
414,2022-01-10,2022-01-15,463976,Adobe
415,2022-06-16,2022-06-21,27113,Lavasoft
416,2023-05-29,2023-06-03,35773,Cakewalk
417,2023-09-02,2023-09-07,385236,Cakewalk
418,2023-02-06,2023-02-11,470092,Borland
419,2023-07-31,2023-08-05,160239,Finale
420,2022-11-26,2022-12-01,261150,Borland
421,2021-11-25,2021-11-30,481109,Finale
422,2023-10-11,2023-10-16,77913,Lavasoft
423,2022-12-12,2022-12-17,406707,Apple
424,2023-09-15,2023-09-20,67778,Cakewalk
425,2023-07-21,2023-07-26,158328,Finale
426,2022-07-24,2022-07-29,312262,Borland
427,2022-05-15,2022-05-20,394071,Finale
428,2023-02-05,2023-02-10,18031,Adobe
429,2022-10-10,2022-10-15,413111,Adobe
430,2022-02-25,2022-03-02,356890,Amazon
431,2022-04-19,2022-04-24,320876,Apple
432,2023-03-22,2023-03-27,14963,Apple
433,2022-11-30,2022-12-05,495367,Amazon
434,2023-09-03,2023-09-08,214513,Chami
435,2022-09-23,2022-09-28,389372,Sibelius
436,2021-11-21,2021-11-26,265376,Amazon
437,2022-01-03,2022-01-08,64019,Google
438,2023-08-07,2023-08-12,467554,Amazon
439,2022-05-23,2022-05-28,450291,Adobe
440,2023-08-18,2023-08-23,399432,Borland
441,2023-04-16,2023-04-21,15788,Adobe
442,2022-10-26,2022-10-31,63787,Microsoft
443,2022-12-21,2022-12-26,256708,Microsoft
444,2022-03-16,2022-03-21,326289,Apple
445,2022-01-26,2022-01-31,163744,Yahoo
446,2022-08-15,2022-08-20,9908,Adobe
447,2023-08-18,2023-08-23,193443,Yahoo
448,2023-04-07,2023-04-12,431360,Chami
449,2023-08-23,2023-08-28,9116,Google
450,2023-05-07,2023-05-12,8099,Lavasoft
451,2022-02-16,2022-02-21,162408,Amazon
452,2022-06-20,2022-06-25,307315,Cakewalk
453,2021-12-27,2022-01-01,122557,Microsoft
454,2023-11-02,2023-11-07,400222,Sibelius
455,2023-02-15,2023-02-20,452005,Chami
456,2022-07-13,2022-07-18,438158,Finale
457,2023-07-13,2023-07-18,19175,Sibelius
458,2023-08-07,2023-08-12,157180,Chami
459,2022-06-15,2022-06-20,154283,Lavasoft
460,2022-12-06,2022-12-11,223752,Google
461,2022-10-07,2022-10-12,348516,Adobe
462,2023-04-12,2023-04-17,185928,Apple
463,2022-10-03,2022-10-08,305242,Lavasoft
464,2021-12-08,2021-12-13,172747,Amazon
465,2022-11-26,2022-12-01,129414,Amazon
466,2023-01-04,2023-01-09,75041,Lavasoft
467,2023-03-12,2023-03-17,402398,Cakewalk
468,2023-03-05,2023-03-10,349437,Adobe
469,2022-07-13,2022-07-18,340047,Borland
470,2023-10-04,2023-10-09,67377,Microsoft
471,2022-10-28,2022-11-02,408495,Adobe
472,2022-11-16,2022-11-21,126902,Cakewalk
473,2023-10-31,2023-11-05,213569,Amazon
474,2022-03-16,2022-03-21,68478,Amazon
475,2023-03-07,2023-03-12,443581,Cakewalk
476,2022-11-12,2022-11-17,69367,Lavasoft
477,2023-07-13,2023-07-18,68643,Adobe
478,2023-07-15,2023-07-20,22839,Sibelius
479,2023-03-12,2023-03-17,387212,Finale
480,2022-04-06,2022-04-11,141031,Sibelius
481,2023-11-18,2023-11-23,391544,Microsoft
482,2022-04-04,2022-04-09,49369,Sibelius
483,2022-09-30,2022-10-05,343386,Borland
484,2022-02-20,2022-02-25,452244,Yahoo
485,2022-07-19,2022-07-24,348292,Amazon
486,2022-10-10,2022-10-15,424087,Finale
487,2022-05-24,2022-05-29,255496,Cakewalk
488,2023-07-09,2023-07-14,26492,Sibelius
489,2023-03-20,2023-03-25,100690,Microsoft
490,2023-05-02,2023-05-07,157811,Chami
491,2023-03-28,2023-04-02,157852,Microsoft
492,2023-06-14,2023-06-19,408965,Lavasoft
493,2022-01-29,2022-02-03,496869,Adobe
494,2022-02-19,2022-02-24,35359,Microsoft
495,2023-01-31,2023-02-05,319862,Lavasoft
496,2023-04-22,2023-04-27,112575,Google
497,2022-01-11,2022-01-16,446864,Microsoft
498,2022-04-20,2022-04-25,384079,Adobe
499,2022-03-05,2022-03-10,52234,Finale
500,2022-04-28,2022-05-03,213340,Adobe
501,2022-11-02,2022-11-05,100,new_client
502,2022-11-03,2022-11-06,200,nuevo_cliente_nuevo
